question, answer
1.01. Ismertesse az egyenáram fogalmát?, Olyan áram amely mindig ugyanabba az irányba halad és az áramerősség állandó értékű. Ez azt jelenti hogy az elektronok mozgása folyamatosan a negatív pólustól a pozitív pólus felé történik.
1.02. Milyen források szolgáltatnak egyenáramot?, Akkumulátorok; napcellák; termoelemek; és a katódsugárzók.
1.03. Ismertesse az Ohm-törvényt?, Az Ohm-törvény szerint az áramerősség (I) egyenlő a feszültség (U) és a ellenállás (R) hányadosával: I = U / R.
1.04. Milyen áramköri elemeket ismer egyenáramú áramkörökben?, Vezetők; ellenállások; kapacitások és induktivitások.
1.05. Hogyan mérhető az áramerősség egy egyenáramú áramkörben?, Amperméterrel.
1.06. Hogyan mérhető a feszültség egy egyenáramú áramkörben?, Voltméterrel.
1.07. Ismertesse a soros és párhuzamos kapcsolást egyenáramú áramkörökben?, A soros kapcsolásban az elemek egymás után vannak csatlakoztatva így az áramerősség minden elemre ugyanaz de a feszültségek összege adja a teljes feszültséget. A párhuzamos kapcsolásban az elemek párhuzamosan vannak csatlakoztatva így minden elem ugyanolyan feszültséget kap de az áramerősségek összege adja a teljes áramerősséget.
1.08. Milyen veszteségek lépnek fel egyenáramú áramkörökben?, A vezetékek ellenállása miatt fellépő hőveszteségek és az elektromos energia elvételének következtében keletkező veszteségek.
1.09. Ismertesse a vezetőképesség fogalmát és mértékegységét?, A vezetőképesség azt mutatja meg hogy mennyire jól vezeti az anyag az elektromos áramot; mértékegysége Siemens (S).
1.10. Milyen tényezők befolyásolják a vezetőképességet?, Az anyag típusa; hőmérséklet; keresztmetszeti terület és a vezeték hossza.
1.11. Mekkora az izzólámpa ellenállása ha 6V feszültségre kapcsolva 400mA áram folyik át rajta?, Az ellenállás Ohm törvénye szerint R = U/I. Tehát R = 6V / 0.4A = 15 Ω.
1.12. Egy telepre/áramforrásra sorosan két ellenállást kapcsolunk: 250Ω és 500Ω. Az áramkörben folyó áram 40mA. Számítsuk ki az áramforrás/telep feszültségét?, Az összellenállás R_össz = 250Ω + 500Ω = 750Ω.; Az áramforrás feszültsége U = I * R_össz = 0.04A * 750Ω = 30V.
1.13. Ha párhuzamosan kapcsolunk egy 200Ω; egy 250Ω és egy 500Ω ellenállást mennyi az eredő ellenállás?, Az eredő ellenállás párhuzamos kapcsolás esetén: 1/R_össz = 1/R1 + 1/R2 + 1/R3. Tehát 1/R_össz = 1/200Ω + 1/250Ω + 1/500Ω = 0.005 + 0.004 + 0.002 = 0.011. Így R_össz ≈ 90.91 Ω.
1.14. Egy zseblámpaizzó 10V-os telepre kapcsolva 2W teljesítménnyel világít. Mekkora áramerősség folyik rajta?, A teljesítmény P = U * I alapján az áramerősség I = P / U.; Tehát I = 2W / 10V = 0.2A vagy 200mA.  
1.15. Egy áramkör főágában 600mA az áram erőssége. Mennyi az elektromos munka 30 perc alatt ha az áramforrás feszültsége 12V?, Az elektromos munka W = U * I * t. Először alakítsuk át az időt másodpercre: 30 perc = 1800 s. Tehát W = 12V * 0.6A * 1800s = 12960 J vagy 12.96 kJ.
2.01. Mi a katódsugár?,  A katódsugár egy vákuumban mozgó elektronokból álló sugár amelyet egy katódsugárcsőben hoznak létre elektromos mező segítségével.   
2.02. Mi a szerepük a függőleges és vízszintes lemezpároknak az oszcilloszkópban?, A függőleges lemezpárok a bemeneti jel feszültségét befolyásolják és a katódsugár függőleges elmozdulását okozzák míg a vízszintes lemezpárok egy időalap jelet hoznak létre amely a katódsugár vízszintes elmozdulását szabályozza így lehetővé téve a jel időbeli változásának megjelenítését az oszcilloszkóp képernyőjén.
2.03. Miért látunk állóképet az oszcilloszkóp képernyőjén?, Az oszcilloszkóp képernyőjén állóképet azért látunk mert a bemeneti jel és az időalap jel szinkronizálva van. Ez azt jelenti hogy a vízszintes elmozdulás (időalap) és a függőleges elmozdulás (bemeneti jel) együttesen hozzák létre a képet amely nem mozog hanem állandó marad a képernyőn.
2.04. Mely orvostudományi területeken használatosak az oszcilloszkópok?, Az oszcilloszkópokat széles körben használják az orvostudományban különböző diagnosztikai és kutatási célokra például:; az elektrokardiográfiában (EKG) a szív elektromos aktivitásának mérésére; az elektroencefalográfiában (EEG) az agyi hullámok vizsgálatára; valamint más bioelektromos jelek monitorozására és elemzésére.
2.05. Jellemezze az áramerősséget egy váltóáramú áramkörben?, Az áramerősség egy váltóáramú áramkörben időben változó mennyiség amely periodikusan változik egy adott frekvenciával és amplitúdóval. A váltóáramú áramkörökben az áramerősség iránya és nagysága folyamatosan változik így az áram nem állandó hanem váltakozó jellegű.
2.06. Jellemezze a feszültséget egy váltóáramú áramkörben?, A feszültség egy váltóáramú áramkörben időben változó mennyiség amely periodikusan változik egy adott frekvenciával és amplitúdóval. A váltóáramú áramkörökben a feszültség iránya és nagysága folyamatosan változik így a feszültség nem állandó hanem váltakozó jellegű.
2.07. Milyen függvény szerint változik a leggyakrabban alkalmazott váltakozó áram. Írja fel egy adott t pillanathoz tartozó feszültség es áramerősség függvényeket?, A leggyakrabban alkalmazott váltakozó áram szinuszos függvény szerint változik.; A feszültség és áramerősség függvények egy adott t pillanathoz tartozó alakja a következő: U(t) = U_max * sin(ωt + φ_u) és I(t) = I_max * sin(ωt + φ_i)
2.08. Mi a periódusidő definíciója; mértékegysége?, A periódusidő az az időtartam amely alatt egy váltakozó jel egy teljes ciklust tesz meg.; Mértékegysége másodperc (s).
2.09. Mi a frekvencia definíciója; mértékegysége?, A frekvencia az az érték amely megmutatja hogy egy váltakozó jel hány teljes ciklust tesz meg egy másodperc alatt.; Mértékegysége Hertz (Hz).
2.10. Mit jelent az effektív feszültség?, Az effektív feszültség (RMS - Root Mean Square) egy váltakozó feszültség olyan értéke amely ugyanannyi hőt termel egy ellenálláson mint egy azonos értékű egyenáramú feszültség. Az effektív feszültség kiszámítása a következő képlettel történik: U_eff = U_max / √2.
2.11. Mennyi a magyarországi elektromos hálózat frekvenciája es effektív feszültsége?, A magyarországi elektromos hálózat frekvenciája 50 Hz és az effektív feszültsége 230 V.
2.12. Milyen áramköri elemekből épül fel a rezgőkor? Mi az egyes elemek szerepe?, A rezgőkör egy olyan áramköri elem amely kondenzátorból és tekercsből áll. A kondenzátor tárolja az elektromos energiát elektromos mező formájában míg a tekercs tárolja az energiát mágneses mező formájában. A rezgőkörben az energia folyamatosan átalakul a kondenzátor és a tekercs között így létrehozva egy oszcilláló jellegű áramot és feszültséget.
2.13. Hogy épül föl a küszöb érték alatti membrán potenciál változás rezgőkor modellje?, A küszöb érték alatti membrán potenciál változás rezgőkör modellje egy olyan áramkört képvisel amelyben a membrán potenciál változása egy kondenzátor és egy ellenállás kombinációjával van modellezve. A kondenzátor a membrán kapacitását jelképezi míg az ellenállás a membrán ioncsatornáinak ellenállását. Amikor a membrán potenciál változik a kondenzátor töltődik vagy ürül az ellenálláson keresztül így létrehozva egy oszcilláló jellegű potenciálváltozást amely a küszöb érték alatt marad.
2.14. Milyen frekvenciával működik a pacemaker? Mekkora egy impulzus időtartama?, A pacemaker általában 60-100 impulzust bocsát ki percenként (1-1.67 Hz frekvenciával) az impulzus időtartama pedig általában 0.5-2.0 ms között van.
2.15. Ismertesse a pacemaker felépítését?, A pacemaker egy kis méretű orvosi eszköz amelyet a mellkas bőre alá ültetnek be. Felépítése magában foglal egy generátort amely az elektromos impulzusokat előállítja; egy vagy több elektródát amelyek a szívizomhoz csatlakoznak és továbbítják az impulzusokat; valamint egy külső programozót amely lehetővé teszi az orvos számára a pacemaker beállításainak módosítását.
2.16. Szinuszosan váltakozó feszültség frekvenciája f= 400 Hz. Mennyi a periódusidő?, A periódusidő T a frekvencia f reciproka: T = 1/f. Tehát T = 1/400 Hz = 0.0025 s vagy 2.5 ms. 
2.17. Mekkora az effektív feszültsége annak a szinuszos váltóáramnak amelynek amplitúdója az oszcilloszkópon 3 cm;  a műszer vertikális érzékenysége pedig 2 V/cm?, Az amplitúdó U_max = 3 cm * 2 V/cm = 6 V. Az effektív feszültség U_eff = U_max / √2 = 6 V / √2 ≈ 4.24 V.
2.18. Szinuszosan váltakozó feszültség maximális értéke Umax ⁡=300 V. Mennyi a feszültség effektív értéke?, Az effektív feszültség U_eff = U_max / √2 = 300 V / √2 ≈ 212.13 V.
2.19. Mekkora a váltóáram periódusideje és maximális feszültsége ha az oszcilloszkóp 5 V/cm vertikális és 10 ms/cm horizontális érzékenységgel rendelkezik (Az ábrán egy négyzet éle 2 cm hosszú.)?,  
3.01. Milyen úton jut el az ingerület a szinuszcsomótól a kamrák izomzatáig? , Az ingerület a szinuszcsomótól a kamrák izomzatáig a következő úton jut el: először a pitvarok izomzatán keresztül terjed a pitvar-kamrai csomóhoz (AV csomóhoz); majd innen a His-kötegbe; onnan a Tawara-szárakba; és végül a Purkinje rostokon keresztül eléri a kamrák izomzatát.
3.02. Mit jelent a nyugalmi membrán potenciál?, A nyugalmi membrán potenciál az a feszültségkülönbség amely a sejtmembrán két oldala között fennáll amikor a sejt nyugalmi állapotban van. Ez a potenciál általában negatív értékű a sejten belül a sejten kívüli térhez képest és az ionok egyenlőtlen eloszlásának eredménye amelyet a sejtmembrán ioncsatornái és pumpái hoznak létre és tartanak fenn.
3.03. Mit tudnak mérni az extracelluláris elektródok?, Az extracelluláris elektródok a sejtmembrán kívüli térben mérhető feszültségeket tudják felmérni.
3.04. Mi történik de-polarizáció és a re-polarizáció során?, A depolarizáció során a sejtmembrán potenciálja pozitív irányba változik mivel a nátrium ionok (Na+) beáramlása következtében a sejten belüli tér kevésbé negatívvá válik. Ez az esemény az akciós potenciál kezdetét jelenti. A repolarizáció során a sejtmembrán potenciálja visszatér a nyugalmi állapothoz mivel a kálium ionok (K+) kiáramlása következtében a sejten belüli tér ismét negatívvá válik. Ez az esemény az akciós potenciál végét jelenti és a sejt készen áll egy újabb ingerület fogadására.
3.05. Milyen jelet mérnek az extracelluláris elektródok a depolarizáció során?,  Az extracelluláris elektródok a depolarizáció során egy pozitív feszültségváltozást mérnek amely a sejtmembrán potenciáljának emelkedését tükrözi.
3.06. Honnan származik az EKG-n regisztrált elektromos jel?, Az EKG-n regisztrált elektromos jel a szívizomsejtek depolarizációja és repolarizációja során keletkező elektromos aktivitásból származik. Amikor a szívizomsejtek ingerületet kapnak és összehúzódnak elektromos potenciálváltozások jönnek létre amelyek az extracelluláris térben mérhetők és az EKG készülék által rögzíthetők.
3.07. Milyen síkot és irányokat definiál a standard végtagi elvezetés?, A standard végtagi elvezetés három síkot és irányt definiál:; az I. elvezetés a jobb kar és a bal kar között mér; a II. elvezetés a jobb kar és a bal láb között mér; és a III. elvezetés a bal kar és a bal láb között mér.; Ezek az elvezetések lehetővé teszik a szív elektromos aktivitásának különböző nézőpontokból történő vizsgálatát.
3.08. Értelmezze az EKG felvételen kapott csúcsokat es szakaszokat?, Az EKG felvételen kapott csúcsok és szakaszok a következőket jelentik:; a P hullám a pitvarok depolarizációját jelzi; a QRS komplex a kamrák depolarizációját mutatja; a T hullám a kamrák repolarizációját jelzi; a PR szakasz a pitvar-kamrai ingerületvezetést reprezentálja; a ST szakasz a kamrák depolarizáció és repolarizáció közötti időszakot mutatja; és a QT intervallum a kamrák teljes elektromos aktivitásának időtartamát jelzi.
3.09. Mire hasznalható az Einthoven - háromszög?, Az Einthoven - háromszög a szív elektromos aktivitásának háromszög alakú modellje amelyet az EKG standard végtagi elvezetések segítségével hoznak létre. Ez a modell lehetővé teszi a szív elektromos tengelyének meghatározását és az EKG jelek értelmezését különböző nézőpontokból.
3.10. Mekkora a pulzusszám ha az EKG‑görbén két szomszédos R‑hullám közötti távolság dRR=2cm? (Papírsebesség v=25 mm/s; Érzékenység k=1 mV/cm), A két R-hullám közötti időtartam t = dRR / v = 2 cm / (25 mm/s) = 20 mm / 25 mm/s = 0.8 s. A pulzusszám P = 60 s / t = 60 s / 0.8 s = 75 ütés/perc.
3.11. Egy személy pulzusszáma 70/perc. Papírsebesség v=25mm/s. Mekkora lesz a két egymást követő P‑hullám távolsága a papíron?, A két P-hullám közötti időtartam t = 60 s / 70 = 0.857 s. A távolság d = v * t = 25 mm/s * 0.857 s ≈ 21.43 mm vagy 2.143 cm.
3.12. Egy páciens EKG görbéje látható az ábrán (a szokásos kis négyzet =1 mm a vastag (5×5) nagy négyzet =5 mm. Megadott papírsebesség: A és B részben v=40 mm/s. Érzékenység mindenhol k=2 mV/cm.) Számítsa ki a páciens:,.
4.01. Csoportosítsa a hőmérőket működési elvük szerint?, A hőmérőket működési elvük szerint a következő csoportokba sorolhatjuk: érintkezéses hőmérők (például higanyos hőmérők alkoholos hőmérők ellenállás hőmérők termoelemek termisztorok) és érintkezés nélküli hőmérők (például infravörös hőmérők optikai hőmérők).
4.02. Soroljon fel különböző érintkezés-hőmérőket?, Higanyos hőmérők; alkoholos hőmérők; ellenállás hőmérők (RTD); termoelemek; termisztorok.
4.03. Ismertesse a termoelem működési elvet?, A termoelem két különböző fém vagy fémötvözet közötti hőmérséklet-különbség hatására elektromos feszültséget generál. Ez a jelenség a Seebeck-effektus néven ismert. Amikor a két fém közötti csatlakozási pontok különböző hőmérsékleten vannak az elektronok áramlása miatt feszültség keletkezik amely arányos a hőmérséklet-különbséggel. A termoelemeket gyakran használják hőmérséklet mérésére és szabályozására különböző ipari és tudományos alkalmazásokban.
4.04. Fogalmazza meg mit mutat meg a termoelem érzékenysége?, A termoelem érzékenysége azt mutatja meg hogy mennyi elektromos feszültség keletkezik a termoelem két csatlakozási pontja közötti hőmérséklet-különbség egységére vetítve. Általában mikrovolt per Celsius-fok (µV/°C) mértékegységben adják meg. Minél nagyobb a termoelem érzékenysége annál nagyobb feszültség keletkezik egy adott hőmérséklet-különbség hatására ami jobb mérési pontosságot eredményez.
4.05. Milyen kapcsolat van a félvezetők ellenállása és a hőmérséklet között?, A félvezetők ellenállása általában csökken a hőmérséklet növekedésével. Ez azért van mert a hőmérséklet emelkedése növeli a félvezető anyagban lévő töltéshordozók (elektronok és lyukak) számát és mozgékonyságát ami csökkenti az ellenállást. Ez a jelenség ellentétes a fémek esetében megfigyelhető viselkedéssel ahol az ellenállás növekszik a hőmérséklet emelkedésével.
4.06. Mit ért aktiválási energia alatt?, Az aktiválási energia az a minimális energia amely szükséges ahhoz hogy egy kémiai reakció vagy fizikai folyamat elinduljon. A félvezetők esetében az aktiválási energia azt az energiát jelenti amelyet a töltéshordozóknak (elektronoknak vagy lyukaknak) el kell érniük ahhoz hogy átlépjenek az energiasávok között és részt vegyenek az elektromos vezetésben. Minél magasabb az aktiválási energia annál kevésbé érzékeny a félvezető anyag a hőmérséklet változásaira.
4.07. Mit jelent a termisztor maradék ellenállása?, A termisztor maradék ellenállása az a minimális ellenállás érték amelyet a termisztor elér egy adott hőmérsékleten. Ez az érték általában akkor fordul elő amikor a termisztor hőmérséklete nagyon alacsony vagy nagyon magas és az anyag szerkezeti jellemzői miatt az ellenállás nem csökken tovább. A maradék ellenállás fontos paraméter a termisztorok tervezésében és alkalmazásában mivel befolyásolja a mérési pontosságot és a hőmérséklet tartományt amelyben a termisztor hatékonyan működik.
4.08. Milyen érintkezés nélküli hőmérőket ismer?, Infravörös hőmérők; optikai hőmérők; lézeres hőmérők.
4.09. Mely törvényen alapul az érintkezés nélküli hőmérők működése?, Az érintkezés nélküli hőmérők működése a Planck-féle sugárzási törvényen alapul amely leírja hogy egy test milyen elektromágneses sugárzást bocsát ki a hőmérsékletének függvényében. Az infravörös hőmérők például az objektumok által kibocsátott infravörös sugárzást mérik és ebből számítják ki a hőmérsékletet.
4.10. Vázolja fel az infravörös hőmérő felépítését?, Az infravörös hőmérő felépítése általában a következő főbb elemekből áll:; egy optikai rendszer (lencsék vagy tükrök) amely összegyűjti és fókuszálja az infravörös sugárzást az érzékelőre; egy infravörös érzékelő (például termopil vagy fotodióda) amely átalakítja az infravörös sugárzást elektromos jellé; egy jelerősítő amely felerősíti az érzékelő jelét; egy analóg-digitális átalakító amely a jelet digitális formátumba konvertálja; és egy kijelző vagy interfész amely megjeleníti a mért hőmérséklet értékét a felhasználó számára.
4.11. Egy termoelem egyik vége 25 °C-os vízbe másik vége olajba merül. Ilyen elrendezés mellett a voltmérő 20 mV‑ot mutat. Határozza meg az olaj hőmérsékletét ha a termoelem érzékenysége 0.5 mV/°C?, A termoelem feszültsége U = S * ΔT ahol S az érzékenység és ΔT a hőmérsékletkülönbség.; Tehát ΔT = U / S = 20 mV / 0.5 mV/°C = 40 °C. Az olaj hőmérséklete T_olaj = T_víz + ΔT = 25 °C + 40 °C = 65 °C.
4.12. Egy termoelem egyik vége 10 °C-os másik vége 50 °C-os vízbe merül. A termoelem végeire kapcsolt voltmérő 1 mV‑ot mutat. Határozza meg a termoelem érzékenységét?, A termoelem feszültsége U = S * ΔT ahol ΔT = T2 - T1 = 50 °C - 10 °C = 40 °C. Tehát S = U / ΔT = 1 mV / 40 °C = 0.025 mV/°C.
4.13. Mekkora a 2 mV termo feszültséghez tartozó hőmérséklet‑különbség értéke ha a termoelem érzékenysége 0.02 mV/°C?, A hőmérséklet-különbség ΔT = U / S = 2 mV / 0.02 mV/°C = 100 °C.
4.14. Mekkora feszültséget jelez az 0.05 mV/°C érzékenységű termoelem ha a két elektróda 10 °C és 80 °C-os vízbe merül?, A hőmérséklet-különbség ΔT = 80 °C - 10 °C = 70 °C. A termoelem feszültsége U = S * ΔT = 0.05 mV/°C * 70 °C = 3.5 mV.
5.01. Milyen módszereket ismer a fehér fény hullámhossz szerinti felbontására?, Prizma spektroszkópia; rácsos spektroszkópia; interferométer
5.02. Mit jelent a spektroszkópia kifejezés?, A spektroszkópia az a tudományág amely az anyagok és sugárzások kölcsönhatásait vizsgálja különböző hullámhosszokon vagy frekvenciákon keresztül.; A spektroszkópia segítségével információt nyerhetünk az anyagok szerkezetéről összetételéről és fizikai-kémiai tulajdonságairól azáltal hogy elemezzük a fény vagy más elektromágneses sugárzás spektrumát amelyet az anyag kibocsát elnyel vagy szór.
5.03. Hogyan jellemezhető az atomok színképe. Milyen összefüggés alapján határozhatók meg az elektron átmenetek?, Az atomok színképe vonalas spektrumként jellemezhető amely diszkrét hullámhosszokon vagy frekvenciákon jelenik meg.; Ezek a vonalak az elektronok energiaszintjei közötti átmenetek eredményeként keletkeznek amikor az elektronok egy magasabb energiaszintről egy alacsonyabb szintre ugranak vissza és közben fotonokat bocsátanak ki.; Az elektron átmenetek meghatározására a Bohr-féle modell és a kvantummechanika elvei alapján használhatók amelyek leírják az elektronok energiaszintjeit és az átmenetek szabályait.
5.04. Ábrázoljon egy vonalas/sávos/folytonos spektrumot nevezze el a tengelyeket?, A spektrum ábrázolásakor a vízszintes tengelyen általában a hullámhossz (λ) vagy frekvencia (ν) szerepel mértékegységekkel például nanométer (nm) vagy hertz (Hz); míg a függőleges tengelyen az intenzitás vagy sugárzás erőssége szerepel amelyet gyakran abszorbancia transzmisszió vagy sugárzás intenzitás mértékegységekben adnak meg.
5.05. Mit jelent az abszorpció?, Az abszorpció az a folyamat amely során egy anyag elnyeli a ráeső elektromágneses sugárzást (például fényt) és ennek következtében az anyag belső energiája növekszik.; Az abszorpció során a fotonok energiája átadódik az anyag részecskéinek (például elektronoknak vagy molekuláknak) amelyek ennek hatására gerjesztett állapotba kerülnek.; Az abszorpció mértéke függ az anyag tulajdonságaitól a sugárzás hullámhosszától és az anyag vastagságától.
5.06. Mit jelent az emisszió?, Az emisszió az a folyamat amely során egy anyag elektromágneses sugárzást (például fényt) bocsát ki amikor a benne lévő részecskék (például elektronok vagy molekulák) gerjesztett állapotból visszatérnek alapállapotba vagy alacsonyabb energiaszintre. Az emisszió során a részecskék energiája fotonok formájában szabadul fel amelyek hullámhossza és frekvenciája az anyag tulajdonságaitól és a gerjesztési folyamatoktól függ.
5.07. Csoportosítsa a spektrumokat formájuk szerint! Adjon példát rá?, Vonalas spektrum: Diszkrét vonalakból áll amelyeket például a hidrogén atom spektruma mutat.; Sávos spektrum: Szélesebb hullámhossz tartományokat lefedő sávokból áll amelyeket például a molekulák (például CO2 vagy H2O) spektruma mutat. Folytonos spektrum: Folyamatos hullámhossz tartományt lefedő spektrum amelyet például a fekete test sugárzása vagy a napfény spektruma mutat.
5.08. Csoportosítsa a spektrumokat keletkezesiik szerint! Adjon példát rá?, Abszorpciós spektrum: Egy anyag által elnyelt fény hullámhossz szerinti eloszlása; Emissziós spektrum: Egy anyag által kibocsátott fény hullámhossz szerinti eloszlása.
5.09. Mit mond ki Bohr 2. posztulátuma?, Az atomokban az elektronok csak meghatározott energiaszinteken (kvantált pályákon) keringenek az atommag körül anélkül hogy energiát sugároznának ki. Az elektronok csak akkor sugároznak ki vagy nyelnek el energiát amikor egyik energiaszintről a másikra ugranak át.
5.10. Mit bizonyít a Franck-Hertz kísérlet?, A Franck-Hertz kísérlet bizonyítja az atomok energiaszintjeinek kvantált természetét. A kísérlet során megfigyelték hogy az elektronok csak akkor veszítenek energiát és gerjesztik az atomokat amikor meghatározott energiaszinteken ütköznek velük. Ez megerősíti Bohr elméletét miszerint az atomokban az elektronok csak meghatározott energiaszinteken létezhetnek és az energiaátmenetek kvantáltak.
5.11. Magyarázza el a Franck-Hertz kísérlet során tapasztalható jelenségeket?, A Franck-Hertz kísérlet során egy elektronsugarat gyorsítanak fel és engednek át egy higanygázon. Amikor az elektronok ütköznek a higanyatomokkal bizonyos energiaszinteken gerjesztik az atomokat. Ez azt eredményezi hogy az elektronok energiát veszítenek és a mérőműszerben csökken az áramerősség. Amikor az elektronok elérik a következő energiaszintet ismét ütköznek és újra energiát veszítenek így további csökkenést okozva az áramerősségben. Ez a folyamat ismétlődik és a mérési görbe periodikus csúcsokat mutat amelyek megfelelnek a higanyatom energiaszintjeinek.
5.12. Adja mega Rydberg - képletet. Nevezze mega benne szereplő paramétereket?, A Rydberg-képlet a következő: 1/λ = R * (1/n1^2 - 1/n2^2) ahol λ a kibocsátott vagy elnyelt fény hullámhossza; R a Rydberg-állandó (kb. 1.097 x 10^7 m^-1); n1 és n2 pedig az elektron energiaszintjei (n2 > n1).
5.13. Számítsa ki egy 4.57×10^14Hz frekvenciájú foton hullámhosszát és energiáját! Mekkora az atomi pályák energiakülönbsége ha az elektron átmenete a két pálya között a 4.57×10^14Hz frekvenciájú fénnyel gerjeszthető? A Planck‑állandó 6.63×10−34 J\cdotps. A fény terjedési sebessége vákuumban 3⋅108 m/s., A hullámhossz λ = c / f = (3×10^8 m/s) / (4.57×10^14 Hz) ≈ 6.56×10^-7 m vagy 656 nm. Az energia E = h * f = (6.63×10^-34 J·s) * (4.57×10^14 Hz) ≈ 3.03×10^-19 J. Az atomi pályák energiakülönbsége megegyezik a foton energiájával tehát ΔE ≈ 3.03×10^-19 J.
5.14. A hidrogénatom Paschen‑sorozata esetén a gerjesztett elektron a 3. elektronhéjra relaxálódik (infravörös tartomány). Az 5. elektronhéjról a 3.-ra történő relaxáció során kibocsátott foton hullámhossza 1282 nm. Számítsa ki az emittált foton frekvenciáját és energiáját! Számítsa ki az elektronhéjak közötti energiakülönbséget is!, A frekvencia f = c / λ = (3×10^8 m/s) / (1282×10^-9 m) ≈ 2.34×10^14 Hz.; Az energia E = h * f = (6.63×10^-34 J·s) * (2.34×10^14 Hz) ≈ 1.55×10^-19 J.; Az elektronhéjak közötti energiakülönbség megegyezik a foton energiájával tehát ΔE ≈ 1.55×10^-19 J.
5.15. A hidrogénatom Lyman‑sorozata esetén a gerjesztett elektron az 1. elektronhéjra relaxálódik (ultraibolya). A 2. elektronhéjról az 1.-re történő relaxáció során kibocsátott foton hullámhossza 122 nm. Határozza meg a hidrogén Rydberg‑állandóját!,. 
5.16. Számítsa ki a Balmer‑sorozatban a kibocsátott foton hullámhosszát ha az elektron a 6. energiaszintről (n₂ = 6) a 2. energiaszintre (n₁ = 2) relaxál. A Rydberg‑állandó: R = 1.097·10⁷ m⁻¹,.
5.17. A hidrogénatom Balmer‑sorozatában az elektron gerjesztés után a 2. elektronhéjra relaxál. Az emissziós vonal hullámhossza λ = 434 nm. Adja meg mely energiaszintről történt az átmenet ha a Rydberg‑állandó R = 1.097·10⁷ m⁻¹!,. 
