question, answer
6.01. Mi a különbség az atomok es a molekulák spektruma között?, Az atomok spektruma vonalas spektrumként jelenik meg amely diszkrét hullámhosszokon vagy frekvenciákon mutat vonalakat amelyek az elektronok energiaszintjei közötti átmenetek eredményeként keletkeznek. Ezzel szemben a molekulák spektruma sávos spektrumként jelenik meg amely szélesebb hullámhossz tartományokat lefedő sávokból áll. Ez azért van mert a molekulákban az elektronok mellett a molekulán belüli rezgési és forgási mozgások is hozzájárulnak a spektrum kialakulásához így komplexebb és szélesebb spektrumot eredményezve.
6.02. Milyen molekulán belüli mozgások felelősek azért hogy a molekulák sávos spektrumot mutatnak?, A molekulán belüli mozgások közül a rezgési és forgási mozgások felelősek azért hogy a molekulák sávos spektrumot mutatnak. A rezgési mozgások során a molekula atomjai egymáshoz képest rezegnek míg a forgási mozgások során a molekula egészében forog. Ezek a mozgások különböző energiaszinteket hoznak létre amelyekhez elektronátmenetek is kapcsolódnak így komplexebb spektrumot eredményezve.
6.03. Mit jelent az abszorpciós spektrum?, Az abszorpciós spektrum az a spektrum amely megmutatja hogy egy anyag milyen hullámhosszokon vagy frekvenciákon nyeli el az elektromágneses sugárzást (például fényt).; Az abszorpciós spektrum jellemző vonalakat vagy sávokat tartalmaz amelyek megfelelnek azoknak a hullámhosszoknak ahol az anyag részecskéi (például elektronok vagy molekulák) energiát vesznek fel és gerjesztett állapotba kerülnek.; Az abszorpciós spektrum segítségével információt nyerhetünk az anyag szerkezetéről összetételéről és fizikai-kémiai tulajdonságairól.
6.04. Mit jelent az emissziós spektrum?, Az emissziós spektrum az a spektrum amely megmutatja hogy egy anyag milyen hullámhosszokon vagy frekvenciákon bocsát ki elektromágneses sugárzást (például fényt) amikor a benne lévő részecskék (például elektronok vagy molekulák) gerjesztett állapotból visszatérnek alapállapotba vagy alacsonyabb energiaszintre.; Az emissziós spektrum jellemző vonalakat vagy sávokat tartalmaz amelyek megfelelnek azoknak a hullámhosszoknak ahol az anyag részecskéi energiát szabadítanak fel fotonok formájában.; Az emissziós spektrum segítségével információt nyerhetünk az anyag szerkezetéről összetételéről és fizikai-kémiai tulajdonságairól.
6.05. Mi a monokromátor szerepe a spektrofotométerben?, A monokromátor szerepe a spektrofotométerben az hogy egy adott hullámhosszú fényt válasszon ki a széles spektrumú fényforrásból. A monokromátor általában egy prizma vagy rács segítségével bontja fel a fényt különböző hullámhosszokra és lehetővé teszi hogy csak egy meghatározott hullámhosszú fény jusson el a mintához. Ezáltal pontosan mérhető az anyag abszorpciós vagy emissziós tulajdonságai egy adott hullámhosszon.
6.06. Adja meg a Lambert-Beer törvény valamely alakját! Azonosítsa a benne szereplő paramétereket?, A Lambert-Beer törvény egyik alakja a következő: A = ε * c * l; ahol A az abszorbancia (nincs mértékegysége); ε a moláris abszorpciós együttható (L·mol^-1·cm^-1); c a koncentráció (mol·L^-1); és l a mintán áthaladó fény útjának hossza (cm).
6.07. Miért szükséges alapvonalat felvenni a spektroszkópos mérések kezdeten?, Az alapvonal felvétele a spektroszkópos mérések kezdetén azért szükséges mert ez lehetővé teszi a háttérjel és a műszer sajátosságainak kompenzálását. Az alapvonal mérésével meghatározhatjuk a minta nélküli rendszer abszorbanciáját vagy intenzitását így a későbbi mérések során csak a minta által okozott változásokat tudjuk figyelembe venni. Ez javítja a mérési pontosságot és megbízhatóságot.
6.08. Mit jelent az hogy az abszorbancia additív mennyiség?, Az abszorbancia additív mennyiség azt jelenti hogy ha egy mintában több különböző komponens van jelen amelyek mindegyike elnyeli a fényt akkor a teljes abszorbancia a komponensek egyéni abszorbanciáinak összege lesz. Ez azt jelenti hogy ha A1; A2; A3; ...; An az egyes komponensek abszorbanciái akkor a teljes abszorbancia A_total = A1 + A2 + A3 + ... + An lesz.
6.09. Mely aminosavak felelősek a fehérjék fényelnyeléséért?, A fehérjék fényelnyeléséért elsősorban az aromás aminosavak felelősek amelyek közé tartozik; a triptofán; tirozin; és fenilalanin.; Ezek az aminosavak képesek elnyelni az ultraibolya (UV) fényt különösen a 250-300 nm hullámhossz tartományban.
6.10. Minek a vizsgalatara alkalmas a pulzoximetria?, A pulzoximetria alkalmas a vér oxigénszaturációjának (SpO2) és a pulzusszám mérésére. Ez egy nem invazív módszer amely segítségével gyorsan és egyszerűen meghatározható a vér oxigénellátottsága és a szívverés gyakorisága.
6.11. Mely fizikai jelenség mérésen alapul a pulzoximetria?, A pulzoximetria a fényelnyelés és a fényáteresztés fizikai jelenségén alapul. A pulzoximéter két különböző hullámhosszú fényt (általában vörös és infravörös) bocsát át a bőrön keresztül és méri a visszavert fény intenzitását.; Az oxigenált és dezoxigenált hemoglobin eltérő mértékben nyeli el ezeket a hullámhosszokat így a mért intenzitáskülönbségek alapján meghatározható a vér oxigénszaturációja.
6.12. Milyen jellemző különbségek figyelhetőek meg az oxigenált es dezoxigenált hemoglobin abszorpciós spektrumában?, Az oxigenált hemoglobin (HbO2) és a dezoxigenált hemoglobin (Hb) abszorpciós spektrumában a következő jellemző különbségek figyelhetők meg: az oxigenált hemoglobin erősebben nyeli el a vörös fényt (kb. 660 nm); míg a dezoxigenált hemoglobin erősebben nyeli el az infravörös fényt (kb. 940 nm).; Ez a különbség lehetővé teszi a pulzoximéter számára hogy meghatározza a vér oxigénszaturációját azáltal hogy összehasonlítja a két hullámhosszú fény elnyelését.
6.13. Mekkora a transzmittanciája és az abszorbanciája annak a mintának amely a ráeső fény 80%-át nyeli el?, A transzmittancia T = I/I0 ahol I a minta után mért fényintenzitás és I0 a ráeső fényintenzitás. Ha a minta 80%-át nyeli el akkor 20%-a marad meg így T = 0.20. Az abszorbancia A = -log10(T) tehát A = -log10(0.20) ≈ 0.70.
6.14. A ráeső fény hány százalékát nyeli el az a minta amelynek fotométerrel mért abszorbanciája 1?, Az abszorbancia A = -log10(T) ahol T a transzmittancia. Ha A = 1 akkor T = 10^(-A) = 10^(-1) = 0.10. Ez azt jelenti hogy a minta a ráeső fény 10%-át engedi át és 90%-át nyeli el. Tehát a minta a ráeső fény 90%-át nyeli el.
6.15. Mekkora a minta transzmittanciája és abszorbanciája ha a beeső fény intenzitása I0 = 0.8Wm−2 a kilépő fény intenzitása pedig I = 0.1 Wm−2?, A transzmittancia T = I/I0 = 0.1 W/m² / 0.8 W/m² = 0.125. Az abszorbancia A = -log10(T) = -log10(0.125) ≈ 0.903.
6.16. Egy FMN oldat λ=447 nm-en mért abszorbanciája A=0.25A. A 447 nm‑es hullámhosszhoz tartozó moláris extinkciós koefficiens ε=11500 M−1 cm−1 a küvetta úthossza ℓ=1 cm. Számítsa ki az FMN‑oldat koncentrációját!, A Lambert-Beer törvény alapján A = ε * c * l; ahol A az abszorbancia; ε a moláris extinkciós koefficiens; c a koncentráció; és l a küvetta úthossza. Átrendezve a koncentrációra: c = A / (ε * l) = 0.25 / (11500 M^-1 cm^-1 * 1 cm) ≈ 2.17×10^-5 M.
6.17. Mekkora a kilépő fény intenzitása egy 1 cm vastagságú; 10 mgml−1 koncentrációjú minta esetében ha a beeső fény intenzitása 0.8 Wm−2; az anyagra jellemző moláris abszorpciós együttható pedig ε=0.05 mlmg−1cm−1?, A Lambert-Beer törvény alapján A = ε * c * l ahol A az abszorbancia; ε a moláris abszorpciós együttható; c a koncentráció; és l a minta vastagsága. Tehát A = 0.05 ml mg^-1 cm^-1 * 10 mg ml^-1 * 1 cm = 0.5. A transzmittancia T = I/I0 = 10^(-A) = 10^(-0.5) ≈ 0.3162. Így a kilépő fény intenzitása I = T * I0 = 0.3162 * 0.8 W m^-2 ≈ 0.253 W m^-2.
7.01. Ismertesse a fluoreszcencia során lezajlódó energia-átmeneteket! Milyen idő skálával jellemezhetőek ezek a folyamatok?, A fluoreszcencia során az energia-átmenetek a következő lépésekben zajlanak le: először egy molekula elnyel egy fotont és gerjesztett állapotba kerül (ez a gerjesztési folyamat); majd a gerjesztett állapotban a molekula belső konverzió és vibrációs relaxáció révén elveszíti egy részét az energiájának; végül a molekula visszatér az alapállapotba miközben egy alacsonyabb energiájú fotont bocsát ki (ez az emissziós folyamat). Ezek a folyamatok általában nanomásodperc (10^-9 s) időskálán zajlanak le.
7.02. Mi a különbség a gerjesztési es az emissziós spektrum között?, A gerjesztési spektrum azt mutatja meg hogy egy molekula milyen hullámhosszokon nyeli el a fényt és gerjesztett állapotba kerül. Ez a spektrum az elnyelési tulajdonságokat tükrözi. Ezzel szemben az emissziós spektrum azt mutatja meg hogy a molekula milyen hullámhosszokon bocsát ki fényt amikor visszatér az alapállapotba. Ez a spektrum az emissziós tulajdonságokat tükrözi. A két spektrum általában eltérő hullámhossz tartományban helyezkedik el mivel az emissziós fotonok energiája általában alacsonyabb mint a gerjesztési fotonoké.
7.03. Mi a Stokes-féle eltolódás és mi a magyarázata?, A Stokes-féle eltolódás az a jelenség amely során a fluoreszcencia emissziós spektruma hosszabb hullámhosszokon (alacsonyabb energiájú fotonok) helyezkedik el mint a gerjesztési spektrum. Ennek magyarázata az hogy a molekula gerjesztett állapotban belső konverzió és vibrációs relaxáció révén elveszíti egy részét az energiájának mielőtt visszatérne az alapállapotba és fényt bocsátana ki. Ez az energia veszteség eredményezi hogy az emissziós fotonok energiája alacsonyabb lesz mint a gerjesztési fotonoké így a hullámhosszuk hosszabb lesz.
7.04. Melyek az intrinsic es extrinsic fluoroforok mely aminosavak szerepe kiemelkedő a fehérjék fluoreszcencia intenzitása szempontjából?, Az intrinsic fluoroforok olyan természetes molekulák amelyek a fehérjékben találhatók és képesek fluoreszcenciát mutatni anélkül hogy külső festékanyagot adnánk hozzá.; Az aminosavak közül a triptofán tirozin és fenilalanin a legfontosabb intrinsic fluoroforok mivel ezek aromás gyűrűket tartalmaznak amelyek elnyelik és kibocsátják a fényt.; Az extrinsic fluoroforok olyan külső festékanyagok vagy jelölők amelyek hozzáadhatók a fehérjékhez hogy fokozzák vagy módosítsák azok fluoreszcencia tulajdonságait. Ezek a fluoroforok különböző kémiai szerkezetekkel rendelkezhetnek és specifikus kötődési helyekhez kapcsolódhatnak a fehérjéken.
7.05. Soroljon fel példákat a fluoreszcencia alkalmazási területeire! Milyen paraméterek befolyásolják a fluoreszcencia intenzitást?, A fluoreszcencia alkalmazási területei közé tartozik a biokémiai és molekuláris biológiai kutatások (például fehérje szerkezet és kölcsönhatások vizsgálata); orvosi diagnosztika (például daganatok kimutatása fluoreszcens jelölőkkel); környezeti monitoring (például szennyező anyagok detektálása); és anyagtudomány (például nanomateriálok jellemzése). A fluoreszcencia intenzitást befolyásoló paraméterek közé tartozik a fluorofor koncentrációja; a gerjesztési hullámhossz; a környezeti feltételek (pl pH hőmérséklet); a kvantumhatékonyság; és a fotoblekhelés mértéke.
7.06. Hogyan épül fel egy fluoriméter; melyek a legfontosabb különbségek egy fotométerrel összehasonlítva?, A fluoriméter felépítése hasonló a fotométeréhez de néhány fontos különbséggel rendelkezik. A fluoriméter főbb elemei közé tartozik egy fényforrás (általában egy izzó vagy lézer) amely gerjesztő fényt bocsát ki; egy monokromátor vagy szűrő amely kiválasztja a kívánt gerjesztési hullámhosszat; egy mintatartó ahol a minta elhelyezkedik; egy második monokromátor vagy szűrő amely kiválasztja az emissziós hullámhosszat; és egy detektor (például fotomultiplier cső vagy fotodióda) amely méri a kibocsátott fluoreszcens fényt. A legfontosabb különbség a fluoriméter és a fotométer között az hogy a fluoriméter merőleges irányban detektálja az emissziós fényt míg a fotométer általában egyenes vonalban méri az elnyelt fényt.
7.07. Rajzolja le a Jablonski - sémát. Jelölje rajta a gerjesztést; fluoreszcencia es foszforeszcencia emissziót?, A Jablonski-séma egy energiaszint diagram amely a következő elemeket tartalmazza: alapállapot (S0); gerjesztett szingulett állapotok (S1 S2); gerjesztett triplet állapotok (T1 T2).; A gerjesztés egy nyíl amely az S0-ból az S1-be mutat; a fluoreszcencia emisszió egy nyíl amely az S1-ből az S0-ba mutat; a foszforeszcencia emisszió egy nyíl amely a T1-ből az S0-ba mutat.
7.08. Mely energiaszintek közötti átmenetet nevezzük fluoreszcenciának?, A fluoreszcenciának azt az átmenetet nevezzük amely során egy molekula gerjesztett állapotból (általában egy szingulett állapotból) visszatér az alapállapotba (szintén szingulett állapotba) miközben egy fotont bocsát ki.; Ez az átmenet általában gyorsan (nanomásodperc időskálán) zajlik le és a kibocsátott foton energiája alacsonyabb mint a gerjesztési fotoné a Stokes-féle eltolódás miatt.
7.09. Mit mond ki a Kasha - szabály?, A Kasha-szabály kimondja hogy a fluoreszcencia emisszió mindig az elektronok legalacsonyabb gerjesztett állapotából (S1) történik vissza az alapállapotba (S0) függetlenül attól hogy melyik magasabb gerjesztett állapotból (S2 S3 stb.) indultak ki.; Ez azt jelenti hogy a molekulák gyorsan elveszítik a felesleges energiát belső konverzió és vibrációs relaxáció révén mielőtt fluoreszcenciát bocsátanának ki.
7.10. Hogyan lehet gerjesztési spektrumot felvenni?, A gerjesztési spektrum felvételéhez a fluoriméterben a mintát egy adott emissziós hullámhosszon detektáljuk miközben a gerjesztési hullámhosszat változtatjuk. Ez azt jelenti hogy először kiválasztunk egy fix emissziós hullámhosszat (amely megfelel a fluorofor kibocsátott fényének) majd fokozatosan változtatjuk a gerjesztési hullámhosszat és mérjük a kibocsátott fluoreszcens fény intenzitását minden egyes gerjesztési hullámhossznál. Az így kapott görbe adja meg a gerjesztési spektrumot amely megmutatja hogy mely hullámhosszokon hatékonyan gerjeszthető a fluorofor.
7.11. Hogyan lehet emissziós spektrumot felvenni?, Az emissziós spektrum felvételéhez a fluoriméterben a mintát egy adott gerjesztési hullámhosszon gerjesztjük miközben az emissziós hullámhosszat változtatjuk. Ez azt jelenti hogy először kiválasztunk egy fix gerjesztési hullámhosszat (amely megfelel a fluorofor elnyelési maximumának) majd fokozatosan változtatjuk az emissziós hullámhosszat és mérjük a kibocsátott fluoreszcens fény intenzitását minden egyes emissziós hullámhossznál. Az így kapott görbe adja meg az emissziós spektrumot amely megmutatja hogy mely hullámhosszokon bocsát ki fényt a fluorofor.
7.12. Melyek a fehérjék belső fluoroforjai?, A fehérjék belső fluoroforjai elsősorban az aromás aminosavak közé tartoznak: triptofán tirozin és fenilalanin.; Ezek az aminosavak képesek elnyelni az ultraibolya (UV) fényt és fluoreszcenciát mutatni amikor gerjesztett állapotba kerülnek.
7.13. Mely hullámhossz tartományban van gerjesztési maximuma az aromás aminosavaknak?, Az aromás aminosavak gerjesztési maximuma általában az ultraibolya (UV) tartományban található. A triptofán gerjesztési maximuma körülbelül 280 nm; a tiroziné körülbelül 275 nm; és a fenilalaniné körülbelül 258 nm.
7.14. Mire alkalmazhatóak a fehérjék belső fluoroforjai?, A fehérjék belső fluoroforjai alkalmazhatók a fehérjék szerkezetének és konformációjának vizsgálatára; a fehérje-ligand kölcsönhatások tanulmányozására; a fehérje aggregáció és denaturáció monitorozására; valamint a fehérjék lokalizációjának és dinamikájának követésére sejtekben. A fluoreszcencia spektroszkópia segítségével információt nyerhetünk a fehérjék környezetéről és működéséről.
7.15. Mi a különbség a belső es a külső fluoroforok között?, A belső fluoroforok olyan természetes molekulák amelyek a fehérjékben vagy más biomolekulákban találhatók és képesek fluoreszcenciát mutatni anélkül hogy külső festékanyagot adnánk hozzá. Például az aromás aminosavak (triptofán tirozin fenilalanin) belső fluoroforok.; Ezzel szemben a külső fluoroforok olyan külső festékanyagok vagy jelölők amelyek hozzáadhatók a biomolekulákhoz hogy fokozzák vagy módosítsák azok fluoreszcencia tulajdonságait.; Ezek a fluoroforok különböző kémiai szerkezetekkel rendelkezhetnek és specifikus kötődési helyekhez kapcsolódhatnak a biomolekulákon.
7.16. Mire alkalmazható a fluoreszcein?, A fluoreszcein egy széles körben használt külső fluorofor amelyet különböző biológiai és orvosi alkalmazásokban használnak. Alkalmazható sejtek és szövetek jelölésére mikroszkópiában; fehérjék és más biomolekulák konjugálására fluoreszcens jelölőként; valamint orvosi diagnosztikában például szemészeti vizsgálatok során a szem felszínének és a könnyfilm állapotának értékelésére. A fluoreszcein erős fluoreszcenciát mutat zöld fényben amikor kék fényre gerjesztik.
7.17. Adjon példát az extrinsic fluoroforok alkalmazására?, A fluoreszcein egy példa az extrinsic fluoroforokra amelyet széles körben használnak biológiai kutatásokban és orvosi diagnosztikában. Például a fluoreszceint gyakran használják sejtek és szövetek jelölésére mikroszkópiában hogy vizualizálják a sejtszerkezeteket és molekuláris kölcsönhatásokat. Emellett a fluoreszceint alkalmazzák fehérjék és más biomolekulák konjugálására fluoreszcens jelölőként amely lehetővé teszi ezek követését és tanulmányozását különböző biokémiai folyamatok során.
7.18. Hogyan épül fel egy fluorimeter?, A fluoriméter felépítése a következő főbb elemekből áll: egy fényforrás (például izzó vagy lézer) amely gerjesztő fényt bocsát ki; egy monokromátor vagy szűrő amely kiválasztja a kívánt gerjesztési hullámhosszat; egy mintatartó ahol a minta elhelyezkedik; egy második monokromátor vagy szűrő amely kiválasztja az emissziós hullámhosszat; és egy detektor (például fotomultiplier cső vagy fotodióda) amely méri a kibocsátott fluoreszcens fényt. A fluoriméterben a gerjesztési és emissziós fény útjai általában merőlegesek egymásra hogy minimalizálják a gerjesztő fény bejutását a detektorba.
7.19. Mi az oka hogy a fluoriméter merőleges irányban detektál?, A fluoriméter merőleges irányban detektál azért hogy minimalizálja a gerjesztő fény bejutását a detektorba. Mivel a gerjesztő fény és az emissziós fény különböző irányokban haladnak ezért a detektor csak az emissziós fényt érzékeli amely jelentősen csökkenti a háttérzajt és javítja a mérési pontosságot. Ez különösen fontos mivel a gerjesztő fény intenzitása általában sokkal nagyobb mint az emissziós fényé.
7.20. Az alábbi spektrumok közül melyik a fluorofór gerjesztési és emissziós spektruma?, Gerjesztési spektrum: 1; Emissziós spektrum: 2; 1. (szaggatott) görbe maximuma rövidebb hullámhosszon (kb. 500 nm); a 2. (folytonos) görbe maximuma hosszabb hullámhosszon (kb. 520 nm).; A fluoreszcenciában az elnyelés (gerjesztés) mindig rövidebb λ‑n az emisszió pedig hosszabb λ‑n történik (Stokes‑eltolódás).
7.21. Adja meg a Stokes‑eltolódás mértékét!, A Stokes-eltolódás mértéke a gerjesztési és emissziós spektrumok maximumainak hullámhossz különbsége. Ebben az esetben a gerjesztési maximum kb. 500 nm és az emissziós maximum kb. 520 nm tehát a Stokes-eltolódás mértéke: 520 nm - 500 nm = 20 nm.
7.22. Adja meg az abszorbeált és az emittált foton energiája közötti különbséget!, Az abszorbeált foton energiája (E_abs) és az emittált foton energiája (E_em) közötti különbség a Stokes-eltolódás miatt van. Az energia különbség kiszámolható a következő képlettel: ΔE = E_abs - E_em.; Mivel az energia és a hullámhossz fordítottan arányosak E = hc/λ; ahol h a Planck-állandó; c a fénysebesség; λ a hullámhossz); a Stokes-eltolódás miatt az emittált foton energiája alacsonyabb lesz mint az abszorbeált foton energiája.; Tehát ΔE pozitív érték lesz amely megfelel a molekula által elveszített energiának a gerjesztett állapotból való visszatérés során.
8.01. Mit jelent a szedimentáció?, A szedimentáció az a folyamat amely során részecskék (például sejtek; molekulák vagy kolloidok) ülepednek egy folyadékban vagy gázban a gravitációs erő hatására. A szedimentáció során a részecskék a sűrűségük és méretük alapján különböző sebességgel mozognak lefelé a közegben és végül leülepednek az aljára. A szedimentációt gyakran használják laboratóriumi technikákban például centrifugálás során hogy elválasszák a különböző komponenseket egy keverékből.
8.02. Melyik erő tartja fenn a körmozgást?, A körmozgást a centripetális erő tartja fenn amely a részecskét a körpálya középpontja felé húzza. Ez az erő biztosítja hogy a részecske folyamatosan változtassa irányát és körpályán maradjon ahelyett hogy egyenes vonalban mozogna ki a pályáról.
8.03. Mi a különbség a centripetális es a centrifugális erő között?, A centripetális erő egy valós erő amely a részecskét a körpálya középpontja felé húzza és fenntartja a körmozgást. Ezzel szemben a centrifugális erő egy látszólagos erő amely a részecskére hat egy forgó referencia rendszerben és úgy tűnik hogy kifelé hat a körpálya középpontjától. A centrifugális erő valójában nem egy valódi erő hanem a tehetetlenség következménye amely miatt a részecske úgy érzi hogy kifelé húzza a pályáról amikor egy forgó rendszerben van.
8.04. Hogyan számolható ki a centripetális es a centrifugális gyorsulás?, A centripetális gyorsulás (a_c) kiszámolható a következő képlettel: a_c = v^2 / r ahol v a részecske sebessége a körpályán és r a körpálya sugara. A centrifugális gyorsulás ugyanezzel a képlettel számolható ki mivel a centrifugális erő és a centripetális erő nagysága megegyezik csak ellentétes irányúak.
8.05. Mely erők hatnak az ülepedő részecskékre és milyen irányban?, Az ülepedő részecskékre három fő erő hat: a gravitációs erő amely lefelé húzza a részecskét; a felhajtóerő amely felfelé hat és csökkenti a részecske súlyát a közegben; és a közegellenállási erő (vagy viszkózus ellenállás) amely szintén felfelé hat és ellenáll a részecske mozgásának a közegben. A gravitációs erő iránya lefelé; míg a felhajtóerő és a közegellenállási erő iránya felfelé van.
8.06. Jellemezze a közegellenállási erőt?, A közegellenállási erő (vagy viszkózus ellenállás) az a erő amely a részecske mozgásával szemben hat egy folyadékban vagy gázban. Ez az erő a közeg részecskéinek ütközéseiből ered és arányos a részecske sebességével valamint a közeg viszkozitásával. A közegellenállási erő iránya mindig ellentétes a részecske mozgásának irányával és csökkenti a részecske sebességét amikor az ülepedik vagy mozog a közegben. A Stokes-törvény szerint kis gömb alakú részecskék esetén a közegellenállási erő kiszámolható a következő képlettel: F_d = 6 * π * η * r * v ahol F_d a közegellenállási erő; η a közeg viszkozitása; r a részecske sugara; és v a részecske sebessége.
8.07. Jellemezze a felhajtóerőt?, A felhajtóerő az a erő amely egy folyadékban vagy gázban lévő testre hat és felfelé irányul. Ez az erő a közeg által kifejtett nyomáskülönbségből ered amely a test alján nagyobb mint a tetején. A felhajtóerő nagysága megegyezik a test által kiszorított közeg súlyával és a Archimédesz törvénye szerint számolható ki: F_b = ρ * V * g ahol F_b a felhajtóerő; ρ a közeg sűrűsége; V a test által kiszorított közeg térfogata; és g a gravitációs gyorsulás. A felhajtóerő csökkenti a test effektív súlyát a közegben és befolyásolja az ülepedési sebességét.
8.08. Mi a relatív gyorsulás?, A relatív gyorsulás az a gyorsulás amelyet egy test tapasztal egy másik testhez képest. Ez a gyorsulás figyelembe veszi mindkét test mozgását és a különbséget a gyorsulásaik között. A relatív gyorsulás kiszámolható a következő képlettel:; a_rel = a_1 - a_2; ahol a_rel a relatív gyorsulás; a_1 az első test gyorsulása; és a_2 a második test gyorsulása. A relatív gyorsulás fontos szerepet játszik olyan helyzetekben ahol két test egymáshoz viszonyított mozgását vizsgáljuk például centrifugálás során.
8.09. Fogalmazza meg hogy mit jelent az hogy egy centrifuga gyorsulása 5000g?, Azt jelenti hogy a centrifuga által keltett gyorsulás ötezerszerese a normál gravitációs gyorsulásnak (g ≈ 9.81 m/s²). Tehát ha egy centrifuga gyorsulása 5000g akkor az azt jelenti hogy a centrifugában lévő részecskék olyan erőhatásnak vannak kitéve mintha ötezerszeres gravitációs erő hatna rájuk. Ez a nagy gyorsulás lehetővé teszi a részecskék gyors ülepedését és elválasztását a közegben.
8.10. Milyen centrifugalasi módszereket ismer?, A centrifugálási módszerek közé tartozik a normál centrifugálás amely alacsony sebességgel és rövid időtartammal történik; az ultracentrifugálás amely magas sebességgel és hosszabb időtartammal végzett centrifugálás; valamint a differenciális centrifugálás amely során több lépésben különböző sebességeken centrifugálnak hogy elválasszák a különböző méretű és sűrűségű részecskéket. Ezen kívül létezik a sűrűséggradiens centrifugálás is amely során egy sűrűséggradiensben történik a centrifugálás hogy pontosabb elválasztást érjenek el.
